33001;Allande
33002;Aller
33003;Amieva
33004;Avilés
33005;Belmonte de Miranda
33006;Bimenes
33007;Boal
33008;Cabrales
33009;Cabranes
33010;Candamo
33012;Cangas de Onís
33011;Cangas del Narcea
33013;Caravia
33014;Carreño
33015;Caso
33016;Castrillón
33017;Castropol
33018;Coaña
33019;Colunga
33020;Corvera de Asturias
33021;Cudillero
33022;Degaña
33023;Franco, El
33024;Gijón
33025;Gozón
33026;Grado
33027;Grandas de Salime
33028;Ibias
33029;Illano
33030;Illas
33031;Langreo
33032;Laviana
33033;Lena
33035;Llanera
33036;Llanes
33037;Mieres
33038;Morcín
33039;Muros de Nalón
33040;Nava
33041;Navia
33042;Noreña
33043;Onís
33044;Oviedo
33045;Parres
33046;Peñamellera Alta
33047;Peñamellera Baja
33048;Pesoz
33049;Piloña
33050;Ponga
33051;Pravia
33052;Proaza
33053;Quirós
33054;Regueras, Las
33055;Ribadedeva
33056;Ribadesella
33057;Ribera de Arriba
33058;Riosa
33059;Salas
33061;San Martín de Oscos
33060;San Martín del Rey Aurelio
33063;San Tirso de Abres
33062;Santa Eulalia de Oscos
33064;Santo Adriano
33065;Sariego
33066;Siero
33067;Sobrescobio
33068;Somiedo
33069;Soto del Barco
33070;Tapia de Casariego
33071;Taramundi
33072;Teverga
33073;Tineo
33034;Valdés
33074;Vegadeo
33075;Villanueva de Oscos
33076;Villaviciosa
33077;Villayón
33078;Yernes y Tameza
